,Codi_Barri,Any,Codi_Districte,Seccio_Censal,Index_Gini
286,68,2018.0,10.0,65.5,32.075
287,69,2018.0,10.0,123.0,32.51428571428571
288,70,2018.0,10.0,87.0,30.553846153846152
289,71,2018.0,10.0,110.5,29.791666666666668
290,72,2018.0,10.0,113.5,27.705555555555556
291,73,2018.0,10.0,133.0,27.676190476190477
292,1,2019.0,1.0,11.0,34.89047619047619
293,2,2019.0,1.0,26.77777777777778,39.644444444444446
294,3,2019.0,1.0,37.0,33.36363636363637
295,4,2019.0,1.0,49.0,37.5
296,5,2019.0,2.0,10.5,32.815
297,6,2019.0,2.0,37.5,33.46470588235294
298,7,2019.0,2.0,69.0,37.53448275862069
299,8,2019.0,2.0,96.5,36.45
300,9,2019.0,2.0,129.5,33.8925
301,10,2019.0,2.0,161.5,33.800000000000004
302,11,2019.0,3.0,12.5,33.30416666666667
303,12,2019.0,3.0,25.0,29.2
304,13,2019.0,3.0,64.17647058823529,28.623529411764707
305,14,2019.0,3.0,43.0,31.657142857142855
306,15,2019.0,3.0,51.5,33.07
307,16,2019.0,3.0,63.0,29.338461538461537
308,17,2019.0,3.0,77.5,31.55
309,18,2019.0,3.0,100.0,32.1551724137931
310,19,2019.0,4.0,18.0,33.605714285714285
311,20,2019.0,4.0,45.266666666666666,31.759999999999998
312,21,2019.0,4.0,53.0,40.44285714285714
313,22,2019.0,5.0,2.0,39.26666666666667
314,23,2019.0,5.0,11.5,39.475
315,24,2019.0,5.0,25.0,41.163636363636364
316,25,2019.0,5.0,39.5,38.955555555555556
317,26,2019.0,5.0,64.0,40.332258064516125
318,27,2019.0,5.0,89.0,35.23157894736842
319,28,2019.0,6.0,6.636363636363637,34.09090909090909
320,29,2019.0,6.0,15.0,33.68
321,30,2019.0,6.0,22.5,32.730000000000004
322,31,2019.0,6.0,45.5,33.849999999999994
323,32,2019.0,6.0,76.0,31.408
324,33,2019.0,7.0,10.0,30.92105263157895
325,34,2019.0,7.0,23.0,31.485714285714284
326,35,2019.0,7.0,39.0,31.804000000000002
327,36,2019.0,7.0,55.0,31.557142857142857
328,37,2019.0,7.0,69.5,28.936363636363637
329,38,2019.0,7.0,84.5,29.5375
330,39,2019.0,7.0,91.0,29.5
331,40,2019.0,7.0,95.5,29.025
332,41,2019.0,7.0,99.5,26.6
333,42,2019.0,7.0,102.0,29.7
334,43,2019.0,7.0,113.0,29.59047619047619
335,44,2019.0,8.0,10.0,30.189473684210526
336,45,2019.0,8.0,28.5,29.47222222222222
337,46,2019.0,8.0,42.5,30.55
338,47,2019.0,8.0,48.5,30.3
339,48,2019.0,8.0,69.0909090909091,25.60909090909091
340,49,2019.0,8.0,62.0,24.380000000000003
341,50,2019.0,8.0,69.5,30.04
342,51,2019.0,8.0,78.5,29.825
343,52,2019.0,8.0,92.5,28.72
344,53,2019.0,8.0,105.0,29.46
