,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
178,33,2017.0,6.5,7.0,16435.0,6.316666666666666
179,34,2017.0,6.5,7.0,5811.0,6.5
180,35,2017.0,6.5,7.0,23398.0,7.116666666666667
181,36,2017.0,6.5,7.0,5723.0,8.924999999999999
182,37,2017.0,6.5,7.0,20018.0,8.700000000000001
183,38,2017.0,6.5,7.0,7535.0,6.9750000000000005
184,39,2017.0,6.5,7.0,4202.0,7.583333333333333
185,40,2017.0,6.5,7.0,2976.0,7.708333333333333
186,41,2017.0,6.5,7.0,3534.0,6.925
187,42,2017.0,6.5,7.0,431.0,3.9583333333333335
188,43,2017.0,6.5,7.0,16402.0,8.85
189,44,2017.0,6.5,8.0,15960.0,8.424999999999999
190,45,2017.0,6.5,8.0,15395.0,8.533333333333333
191,46,2017.0,6.5,8.0,9773.0,8.616666666666665
192,47,2017.0,6.5,8.0,1403.0,8.375
193,48,2017.0,6.5,8.0,8839.0,10.916666666666666
194,49,2017.0,6.5,8.0,4206.0,11.183333333333332
195,50,2017.0,6.5,8.0,10283.0,9.933333333333334
196,51,2017.0,6.5,8.0,7813.0,10.025
197,52,2017.0,6.5,8.0,16070.0,9.191666666666666
198,53,2017.0,6.5,8.0,4773.0,13.816666666666668
199,54,2017.0,6.5,8.0,1922.0,9.450000000000001
200,55,2017.0,6.5,8.0,6674.0,14.191666666666668
201,56,2017.0,6.5,8.0,869.0,12.658333333333333
202,57,2017.0,6.5,9.0,6687.0,13.133333333333333
203,58,2017.0,6.5,9.0,1669.0,7.408333333333334
204,59,2017.0,6.5,9.0,7975.0,8.808333333333334
205,60,2017.0,6.5,9.0,36467.0,7.808333333333334
206,61,2017.0,6.5,9.0,18520.0,7.116666666666667
207,62,2017.0,6.5,9.0,8949.0,7.175
208,63,2017.0,6.5,9.0,14054.0,7.033333333333334
209,64,2017.0,6.5,10.0,25027.0,7.666666666666667
210,65,2017.0,6.5,10.0,18138.0,7.183333333333334
211,66,2017.0,6.5,10.0,10394.0,6.075
212,67,2017.0,6.5,10.0,6551.0,6.2749999999999995
213,68,2017.0,6.5,10.0,22610.0,6.266666666666667
214,69,2017.0,6.5,10.0,8853.0,7.591666666666666
215,70,2017.0,6.5,10.0,15224.0,10.058333333333334
216,71,2017.0,6.5,10.0,13873.0,7.458333333333333
217,72,2017.0,6.5,10.0,16078.0,9.016666666666667
218,73,2017.0,6.5,10.0,17390.0,9.416666666666666
219,1,2018.0,6.5,1.0,35577.0,9.091666666666667
220,2,2018.0,6.5,1.0,13388.0,6.541666666666667
221,3,2018.0,6.5,1.0,10928.0,8.766666666666667
222,4,2018.0,6.5,1.0,17084.0,7.741666666666667
223,5,2018.0,6.5,2.0,21304.0,5.658333333333334
224,6,2018.0,6.5,2.0,34381.0,5.633333333333333
225,7,2018.0,6.5,2.0,28960.0,4.333333333333333
226,8,2018.0,6.5,2.0,28563.0,4.991666666666666
227,9,2018.0,6.5,2.0,38127.0,5.45
228,10,2018.0,6.5,2.0,25468.0,5.958333333333333
229,11,2018.0,6.5,3.0,28154.0,7.7
230,12,2018.0,6.5,3.0,784.0,13.225
231,13,2018.0,6.5,3.0,20134.0,8.291666666666666
232,14,2018.0,6.5,3.0,6837.0,8.0
233,15,2018.0,6.5,3.0,10997.0,6.366666666666667
