,Codi_Barri,Any,Codi_Districte,AEB,Seccio_Censal,Valor,NACIONALITAT_G
63,64,2015.0,10.0,202.64285714285714,10013.0,355.0,1.2142857142857142
64,65,2015.0,10.0,205.9047619047619,10043.285714285714,203.0,1.3333333333333333
65,66,2015.0,10.0,208.72727272727272,10045.90909090909,107.0,1.2727272727272727
66,67,2015.0,10.0,210.2,10053.0,22.0,1.0
67,68,2015.0,10.0,213.83333333333334,10065.333333333334,289.0,1.1666666666666667
68,69,2015.0,10.0,216.7,10109.4,58.0,1.5
69,70,2015.0,10.0,220.11764705882354,10086.058823529413,187.0,1.4705882352941178
70,71,2015.0,10.0,224.15384615384616,10109.23076923077,185.0,1.1538461538461537
71,72,2015.0,10.0,227.31578947368422,10113.578947368422,291.0,1.0526315789473684
72,73,2015.0,10.0,231.34782608695653,10133.521739130434,319.0,1.173913043478261
73,1,2016.0,1.0,4.117647058823529,1009.7941176470588,281.0,1.6470588235294117
74,2,2016.0,1.0,10.470588235294118,1026.8823529411766,103.0,1.7058823529411764
75,3,2016.0,1.0,14.235294117647058,1036.9411764705883,182.0,1.6470588235294117
76,4,2016.0,1.0,17.454545454545453,1049.3636363636363,183.0,1.6363636363636365
77,5,2016.0,2.0,20.833333333333332,2009.9166666666667,327.0,1.3333333333333333
78,6,2016.0,2.0,25.11627906976744,2037.4651162790697,503.0,1.3488372093023255
79,7,2016.0,2.0,31.256410256410255,2069.7948717948716,473.0,1.358974358974359
80,8,2016.0,2.0,40.03030303030303,2096.121212121212,425.0,1.3636363636363635
81,9,2016.0,2.0,46.72549019607843,2129.705882352941,527.0,1.3725490196078431
82,10,2016.0,2.0,52.67857142857143,2161.6071428571427,351.0,1.25
83,11,2016.0,3.0,57.064516129032256,3012.8709677419356,325.0,1.3548387096774193
84,12,2016.0,3.0,60.0,3025.0,17.0,1.0
85,13,2016.0,3.0,62.23809523809524,3066.6190476190477,248.0,1.3333333333333333
86,14,2016.0,3.0,65.0,3042.875,102.0,1.125
87,15,2016.0,3.0,66.63636363636364,3051.6363636363635,134.0,1.1818181818181819
88,16,2016.0,3.0,68.66666666666667,3062.9333333333334,168.0,1.2666666666666666
89,17,2016.0,3.0,70.29411764705883,3077.6470588235293,197.0,1.0588235294117647
90,18,2016.0,3.0,73.73529411764706,3099.529411764706,366.0,1.2352941176470589
91,19,2016.0,4.0,79.5,4017.0476190476193,429.0,1.2619047619047619
92,20,2016.0,4.0,85.73684210526316,4044.7894736842104,198.0,1.2105263157894737
93,21,2016.0,4.0,88.85714285714286,4053.0,114.0,1.0
94,22,2016.0,5.0,91.66666666666667,5002.0,53.0,1.0
95,23,2016.0,5.0,95.0,5011.227272727273,254.0,1.3636363636363635
96,24,2016.0,5.0,98.46153846153847,5025.461538461538,140.0,1.2307692307692308
97,25,2016.0,5.0,101.84,5038.24,274.0,1.44
98,26,2016.0,5.0,107.2,5064.075,403.0,1.3
99,27,2016.0,5.0,111.88,5088.92,229.0,1.32
100,28,2016.0,6.0,115.18181818181819,6006.636363636364,151.0,1.0
101,29,2016.0,6.0,118.0,6015.222222222223,61.0,1.6666666666666667
102,30,2016.0,6.0,119.53333333333333,6021.8,132.0,1.6
103,31,2016.0,6.0,125.29166666666667,6045.0,469.0,1.375
104,32,2016.0,6.0,132.36666666666667,6075.466666666666,357.0,1.3
105,33,2016.0,7.0,135.86363636363637,7009.954545454545,367.0,1.1818181818181819
106,34,2016.0,7.0,138.0,7023.0,90.0,1.0
107,35,2016.0,7.0,140.84375,7038.46875,344.0,1.375
108,36,2016.0,7.0,144.57142857142858,7055.0,85.0,1.0
109,37,2016.0,7.0,147.32,7069.08,276.0,1.2
110,38,2016.0,7.0,149.0,7084.888888888889,98.0,1.2222222222222223
111,39,2016.0,7.0,150.0,7091.0,77.0,1.1666666666666667
112,40,2016.0,7.0,151.0,7095.5,94.0,1.0
113,41,2016.0,7.0,152.0,7099.4,62.0,1.4
114,42,2016.0,7.0,153.0,7102.0,6.0,1.0
115,43,2016.0,7.0,154.84,7113.0,304.0,1.28
116,44,2016.0,8.0,158.47826086956522,8010.347826086957,270.0,1.2608695652173914
117,45,2016.0,8.0,162.05,8028.8,240.0,1.2
118,46,2016.0,8.0,164.36363636363637,8042.363636363636,176.0,1.0909090909090908
119,47,2016.0,8.0,166.0,8048.5,21.0,1.0
120,48,2016.0,8.0,167.36363636363637,8069.090909090909,142.0,1.0
121,49,2016.0,8.0,169.0,8062.0,58.0,1.0
122,50,2016.0,8.0,170.53846153846155,8070.0,114.0,1.4615384615384615
123,51,2016.0,8.0,172.625,8078.5,117.0,1.0
124,52,2016.0,8.0,175.66666666666666,8092.333333333333,252.0,1.4444444444444444
125,53,2016.0,8.0,178.0,8104.833333333333,102.0,1.3333333333333333
126,54,2016.0,8.0,179.0,8108.5,13.0,1.0
127,55,2016.0,8.0,180.0,8112.7,60.0,1.8
128,56,2016.0,8.0,181.0,8116.0,25.0,1.0
129,57,2016.0,9.0,182.0,9002.75,57.0,1.75
130,58,2016.0,9.0,183.0,9006.5,25.0,1.0
131,59,2016.0,9.0,184.71428571428572,9011.42857142857,98.0,1.0
132,60,2016.0,9.0,189.36363636363637,9035.5,463.0,1.2045454545454546
133,61,2016.0,9.0,194.41666666666666,9067.291666666666,239.0,1.3333333333333333
134,62,2016.0,9.0,197.6,9078.2,178.0,1.2
135,63,2016.0,9.0,199.4375,9088.4375,197.0,1.25
136,64,2016.0,10.0,202.62857142857143,10012.914285714285,373.0,1.5142857142857142
137,65,2016.0,10.0,205.88888888888889,10044.555555555555,200.0,1.1111111111111112
138,66,2016.0,10.0,208.72727272727272,10045.545454545454,120.0,1.2727272727272727
139,67,2016.0,10.0,210.14285714285714,10053.142857142857,30.0,1.4285714285714286
140,68,2016.0,10.0,213.95454545454547,10065.863636363636,269.0,1.1818181818181819
141,69,2016.0,10.0,216.8181818181818,10135.636363636364,65.0,1.6363636363636365
142,70,2016.0,10.0,220.33333333333334,10086.866666666667,200.0,1.2666666666666666
143,71,2016.0,10.0,224.25,10110.5,132.0,1.0
