"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2009-2013",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1739
"2009-2013",10,"Sant Martí",65,"el Clot",1010
"2009-2013",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",588
"2009-2013",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",161
"2009-2013",10,"Sant Martí",68,"el Poblenou",1386
"2009-2013",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",324
"2009-2013",10,"Sant Martí",70,"el Besòs i el Maresme",1052
"2009-2013",10,"Sant Martí",71,"Provençals del Poblenou",752
"2009-2013",10,"Sant Martí",72,"Sant Martí de Provençals",1374
"2009-2013",10,"Sant Martí",73,"la Verneda i la Pau",1462
"2009-2013",99,"No consta",99,"No consta",851
"2010-2014",1,"Ciutat Vella",1,"el Raval",1823
"2010-2014",1,"Ciutat Vella",2,"el Barri Gòtic",734
"2010-2014",1,"Ciutat Vella",3,"la Barceloneta",918
"2010-2014",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",980
"2010-2014",2,"Eixample",5,"el Fort Pienc",1539
"2010-2014",2,"Eixample",6,"la Sagrada Família",2728
"2010-2014",2,"Eixample",7,"la Dreta de l'Eixample",2753
"2010-2014",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2266
"2010-2014",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2688
"2010-2014",2,"Eixample",10,"Sant Antoni",2045
"2010-2014",3,"Sants-Montjuïc",11,"el Poble Sec",1795
"2010-2014",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",90
"2010-2014",3,"Sants-Montjuïc",13,"la Marina de Port",1229
"2010-2014",3,"Sants-Montjuïc",14,"la Font de la Guatlla",603
"2010-2014",3,"Sants-Montjuïc",15,"Hostafrancs",709
"2010-2014",3,"Sants-Montjuïc",16,"la Bordeta",816
"2010-2014",3,"Sants-Montjuïc",17,"Sants - Badal",976
"2010-2014",3,"Sants-Montjuïc",18,"Sants",2001
"2010-2014",4,"Les Corts",19,"les Corts",2132
"2010-2014",4,"Les Corts",20,"la Maternitat i Sant Ramon",958
"2010-2014",4,"Les Corts",21,"Pedralbes",522
"2010-2014",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",218
"2010-2014",5,"Sarrià-Sant Gervasi",23,"Sarrià",1192
"2010-2014",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",595
"2010-2014",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1242
"2010-2014",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2356
"2010-2014",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1226
"2010-2014",6,"Gràcia",28,"Vallcarca i els Penitents",768
"2010-2014",6,"Gràcia",29,"el Coll",255
"2010-2014",6,"Gràcia",30,"la Salut",725
"2010-2014",6,"Gràcia",31,"la Vila de Gràcia",2599
"2010-2014",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1713
"2010-2014",7,"Horta-Guinardó",33,"el Baix Guinardó",1490
"2010-2014",7,"Horta-Guinardó",34,"Can Baró",428
"2010-2014",7,"Horta-Guinardó",35,"el Guinardó",1671
